id,name,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft
1,Goroka Airport,GKA,AYGA,-6.081689834590001,145.391998291,5282
2,Madang Airport,MAG,AYMD,-5.20707988739,145.789001465,20
3,Mount Hagen Kagamuga Airport,HGU,AYMH,-5.826789855957031,144.29600524902344,5388
4,Nadzab Airport,LAE,AYNZ,-6.569803,146.725977,239
5,Port Moresby Jacksons International Airport,POM,AYPY,-9.44338035583496,147.22000122070312,146
6,Wewak International Airport,WWK,AYWK,-3.58383011818,143.669006348,19
7,Narsarsuaq Airport,UAK,BGBW,61.1604995728,-45.4259986877,112
8,Godthaab / Nuuk Airport,GOH,BGGH,64.19090271,-51.6781005859,283
9,Kangerlussuaq Airport,SFJ,BGSF,67.0122218992,-50.7116031647,165
10,Thule Air Base,THU,BGTL,76.5311965942,-68.7032012939,251
11,Akureyri Airport,AEY,BIAR,65.66000366210938,-18.07270050048828,6
12,Egilsstaðir Airport,EGS,BIEG,65.2833023071289,-14.401399612426758,76
15,Ísafjörður Airport,IFJ,BIIS,66.05809783935547,-23.135299682617188,8
16,Keflavik International Airport,KEF,BIKF,63.985000610352,-22.605600357056,171
18,Reykjavik Airport,RKV,BIRK,64.1299972534,-21.9405994415,48
21,Sault Ste Marie Airport,YAM,CYAM,46.48500061035156,-84.5093994140625,630
24,St. Anthony Airport,YAY,CYAY,51.3918991089,-56.083099365200006,108
27,Baie Comeau Airport,YBC,CYBC,49.13249969482422,-68.20439910888672,71
28,CFB Bagotville,YBG,CYBG,48.33060073852539,-70.99639892578125,522
29,Baker Lake Airport,YBK,CYBK,64.29889678960001,-96.077796936,59
30,Campbell River Airport,YBL,CYBL,49.950801849365234,-125.27100372314452,346
31,Brandon Municipal Airport,YBR,CYBR,49.91,-99.951897,1343
32,Cambridge Bay Airport,YCB,CYCB,69.1081008911,-105.138000488,90
33,Nanaimo Airport,YCD,CYCD,49.0549702249,-123.869862556,92
34,Castlegar/West Kootenay Regional Airport,YCG,CYCG,49.2963981628,-117.632003784,1624
36,Charlo Airport,YCL,CYCL,47.990799,-66.330299,132
37,Kugluktuk Airport,YCO,CYCO,67.816704,-115.143997,74
40,Clyde River Airport,YCY,CYCY,70.4860992432,-68.5167007446,87
41,Coral Harbour Airport,YZS,CYZS,64.1932983398,-83.3593978882,210
45,Deer Lake Airport,YDF,CYDF,49.21080017089844,-57.39139938354492,72
48,Dawson Creek Airport,YDQ,CYDQ,55.7422981262207,-120.18299865722656,2148
49,Edmonton International Airport,YEG,CYEG,53.3097000122,-113.580001831,2373
50,Arviat Airport,YEK,CYEK,61.0942001343,-94.0708007812,32
54,Inuvik Mike Zubko Airport,YEV,CYEV,68.30419921880001,-133.483001709,224
55,Iqaluit Airport,YFB,CYFB,63.756402,-68.555801,110
56,Fredericton Airport,YFC,CYFC,45.868900299072266,-66.53720092773438,68
58,Flin Flon Airport,YFO,CYFO,54.6781005859375,-101.68199920654295,997
60,Fort Simpson Airport,YFS,CYFS,61.76020050048828,-121.23699951171876,555
61,Kingston Norman Rogers Airport,YGK,CYGK,44.22529983520508,-76.5969009399414,305
62,La Grande Rivière Airport,YGL,CYGL,53.625301361083984,-77.7042007446289,639
63,Gaspé (Michel-Pouliot) Airport,YGP,CYGP,48.7752990723,-64.4785995483,112
65,Îles-de-la-Madeleine Airport,YGR,CYGR,47.42470169067383,-61.778099060058594,35
67,Dryden Regional Airport,YHD,CYHD,49.831699,-92.744202,1354
68,Ulukhaktok Holman Airport,YHI,CYHI,70.76280212402344,-117.80599975585938,117
69,Gjoa Haven Airport,YHK,CYHK,68.635597229,-95.8497009277,152
70,John C. Munro Hamilton International Airport,YHM,CYHM,43.1735992432,-79.93499755859999,780
71,Montréal / Saint-Hubert Airport,YHU,CYHU,45.5175018311,-73.4169006348,90
72,Hay River / Merlyn Carter Airport,YHY,CYHY,60.8396987915,-115.782997131,541
73,Halifax / Stanfield International Airport,YHZ,CYHZ,44.8807983398,-63.5085983276,477
75,Pond Inlet Airport,YIO,CYIO,72.6832962036,-77.9666976929,181
77,Stephenville Airport,YJT,CYJT,48.5442008972168,-58.54999923706055,84
78,Kamloops Airport,YKA,CYKA,50.7022018433,-120.444000244,1133
79,Waterloo Airport,YKF,CYKF,43.4608001709,-80.3786010742,1055
80,Schefferville Airport,YKL,CYKL,54.805301666259766,-66.8052978515625,1709
85,Lloydminster Airport,YLL,CYLL,53.309200286865234,-110.072998046875,2193
87,Kelowna International Airport,YLW,CYLW,49.9561004639,-119.377998352,1421
90,Fort McMurray Airport,YMM,CYMM,56.653301239,-111.222000122,1211
91,Moosonee Airport,YMO,CYMO,51.29109954833984,-80.60780334472656,30
94,Natashquan Airport,YNA,CYNA,50.18999862670898,-61.78919982910156,39
99,High Level Airport,YOJ,CYOJ,58.62139892578125,-117.16500091552734,1110
100,Ottawa Macdonald-Cartier International Airport,YOW,CYOW,45.3224983215332,-75.66919708251953,374
105,Pickle Lake Airport,YPL,CYPL,51.4463996887207,-90.21420288085938,1267
106,Port Menier Airport,YPN,CYPN,49.83639907836914,-64.2885971069336,167
108,Prince Rupert Airport,YPR,CYPR,54.2860984802,-130.445007324,116
109,Fort Chipewyan Airport,YPY,CYPY,58.7672004699707,-111.11699676513672,761
111,Quebec Jean Lesage International Airport,YQB,CYQB,46.7911,-71.393303,244
112,Red Deer Regional Airport,YQF,CYQF,52.18220138549805,-113.8939971923828,2968
113,Windsor Airport,YQG,CYQG,42.27560043334961,-82.95559692382812,622
