source_airport,destination_airport
WNZ,NNG
STR,MUC
LJG,CGO
JNU,PSG
MCO,POS
ISA,BQL
MEU,ORX
ACE,FRA
ATL,FAR
TNG,BRU
OVB,IST
REU,EIN
BKK,AMS
FLL,BOG
CEK,DME
SVO,TJM
CGR,VCP
ORY,GVA
DFW,SYD
GUM,HNL
STL,HOU
CGN,EDI
MKE,PHX
BOG,MDE
STR,SUF
WNZ,XIY
BRU,FLR
STR,AMS
CAE,CLT
MED,JED
BET,KLG
DTM,BUD
PKZ,LPQ
OSL,HAM
LLU,JJU
UTH,DMK
WNZ,TAO
DTW,CID
MLN,MAD
PSA,CTA
IMT,RHI
SVO,TOF
JED,LGW
CGN,GDN
GAU,BKK
SHA,NAY
HIR,VAO
URT,DMK
FAI,AET
KTN,SEA
YVR,YYF
BEG,MMX
MSP,BMI
TPE,DLC
BRE,FMO
BNA,MKL
DXB,GRU
BHV,LHE
MED,ESB
YTS,YYZ
SCL,GRU
BEY,BRU
MXP,LYS
YTS,YYU
LOS,LFW
PUS,HKG
FOC,CJU
DTW,MKE
BEY,SXF
CAI,MAD
AUH,KHI
GYE,GPS
MVR,NSI
DME,VLC
SMF,ONT
SJC,LIH
KRK,SVO
FOC,ZUH
ANC,OTZ
FRA,CLT
ABV,NIM
SIN,BKK
BBN,MUR
BNA,SAT
ZRH,RIX
LXR,RUH
KKN,TOS
BDL,MIA
KMG,MFM
CGN,KVA
TPE,YVR
TFN,CCS
CEB,MPH
USN,CJU
RAI,BVC
KWL,SWA
IST,SSH
KRN,GEV
CCS,PTY
NNG,KMG
XRY,LUX
GVA,MRS
CAI,MXP
HAM,FKB
RIX,AES
SPC,TFN
XIL,NAY
CNS,OOL
OKA,ITM
MKL,MEM
CGK,UPG
BLQ,AHO
NOC,BHX
BFJ,SZX
DLC,NGO
YRT,YWG
HRG,FRA
RAI,TMS
TAK,ICN
DPO,MEL
TRN,IST
RAR,MUK
SHA,CSX
HAD,ARN
RNA,HIR
MCI,STL
AUH,MAN
SZB,RDN
LGW,SPU
JFK,UVF
HAV,ZRH
JAX,TPA
CLT,SJO
ARN,ALC
BZV,CDG
MAN,SPU
